"","Data Series","Total Merchandise Imports"
"...114","2015 Sep","35278954"
"...115","2015 Aug","35260544"
"...116","2015 Jul","37430942"
"...117","2015 Jun","36614847"
"...118","2015 May","33572417"
"...119","2015 Apr","36970386"
"...120","2015 Mar","38824707"
"...121","2015 Feb","29731205"
"...122","2015 Jan","35221197"
"...123","2014 Dec","38374997"
"...124","2014 Nov","35762528"
"...125","2014 Oct","41160397"
"...126","2014 Sep","40573602"
"...127","2014 Aug","36885234"
"...128","2014 Jul","40809150"
"...129","2014 Jun","38216943"
"...130","2014 May","41829362"
"...131","2014 Apr","42799285"
"...132","2014 Mar","43813748"
"...133","2014 Feb","37214009"
"...134","2014 Jan","41143329"
"...135","2013 Dec","38686538"
"...136","2013 Nov","38981788"
"...137","2013 Oct","44871411"
"...138","2013 Sep","41616787"
"...139","2013 Aug","40477278"
"...140","2013 Jul","43645756"
"...141","2013 Jun","39241029"
"...142","2013 May","41984109"
"...143","2013 Apr","42058336"
"...144","2013 Mar","38088858"
"...145","2013 Feb","35355063"
"...146","2013 Jan","40563794"
"...147","2012 Dec","37259840"
"...148","2012 Nov","40081332"
"...149","2012 Oct","41031806"
"...150","2012 Sep","37875867"
"...151","2012 Aug","38629287"
"...152","2012 Jul","38990798"
"...153","2012 Jun","41641022"
"...154","2012 May","42810254"
"...155","2012 Apr","39686751"
"...156","2012 Mar","43698690"
"...157","2012 Feb","40218167"
"...158","2012 Jan","40266013"
"...159","2011 Dec","38210081"
"...160","2011 Nov","41868766"
"...161","2011 Oct","39592049"
"...162","2011 Sep","38911564"
"...163","2011 Aug","42209188"
"...164","2011 Jul","37264457"
"...165","2011 Jun","39185518"
"...166","2011 May","39756662"
"...167","2011 Apr","38518652"
"...168","2011 Mar","43060778"
"...169","2011 Feb","32126643"
"...170","2011 Jan","37583825"
"...171","2010 Dec","36115015"
"...172","2010 Nov","35795622"
"...173","2010 Oct","35674370"
"...174","2010 Sep","35562647"
"...175","2010 Aug","36208637"
"...176","2010 Jul","38506428"
"...177","2010 Jun","37674529"
"...178","2010 May","33511638"
"...179","2010 Apr","36719932"
"...180","2010 Mar","36362935"
"...181","2010 Feb","30904685"
"...182","2010 Jan","33290120"
"...183","2009 Dec","33885826"
"...184","2009 Nov","31415491"
"...185","2009 Oct","32568130"
"...186","2009 Sep","33242874"
"...187","2009 Aug","30161686"
"...188","2009 Jul","31670300"
"...189","2009 Jun","29799099"
"...190","2009 May","27818221"
"...191","2009 Apr","27868130"
"...192","2009 Mar","27730194"
"...193","2009 Feb","26488010"
"...194","2009 Jan","25726467"
"...195","2008 Dec","29158912"
"...196","2008 Nov","32855642"
"...197","2008 Oct","38957660"
"...198","2008 Sep","41584525"
"...199","2008 Aug","38926024"
"...200","2008 Jul","43365604"
"...201","2008 Jun","40693260"
"...202","2008 May","38619579"
"...203","2008 Apr","40555557"
"...204","2008 Mar","38648064"
"...205","2008 Feb","33413957"
"...206","2008 Jan","38681524"
"...207","2007 Dec","34935734"
"...208","2007 Nov","36053976"
"...209","2007 Oct","37110162"
"...210","2007 Sep","32811183"
"...211","2007 Aug","33723677"
"...212","2007 Jul","34151496"
"...213","2007 Jun","34076139"
"...214","2007 May","32340922"
"...215","2007 Apr","31945246"
"...216","2007 Mar","32640492"
"...217","2007 Feb","27851480"
"...218","2007 Jan","30763489"
"...219","2006 Dec","33117053"
"...220","2006 Nov","31957329"
"...221","2006 Oct","31068778"
"...222","2006 Sep","32818225"
"...223","2006 Aug","34163426"
"...224","2006 Jul","33155215"
"...225","2006 Jun","33778399"
"...226","2006 May","32627841"
"...227","2006 Apr","29327041"
"...228","2006 Mar","31515804"
"...229","2006 Feb","29937624"
"...230","2006 Jan","27375920"
"...231","2005 Dec","30768661"
"...232","2005 Nov","29184752"
"...233","2005 Oct","32075302"
"...234","2005 Sep","29312727"
"...235","2005 Aug","29639219"
"...236","2005 Jul","27943026"
"...237","2005 Jun","28003355"
"...238","2005 May","26203333"
"...239","2005 Apr","26658197"
"...240","2005 Mar","28178684"
"...241","2005 Feb","21400853"
"...242","2005 Jan","24945420"
"...243","2004 Dec","25299368"
"...244","2004 Nov","24894387"
"...245","2004 Oct","26438682"
"...246","2004 Sep","25520660"
"...247","2004 Aug","25375603"
"...248","2004 Jul","26647804"
"...249","2004 Jun","24845482"
"...250","2004 May","24467390"
"...251","2004 Apr","24103838"
"...252","2004 Mar","25214316"
"...253","2004 Feb","20335381"
"...254","2004 Jan","21035150"
"...255","2003 Dec","22369973"
"...256","2003 Nov","20077600"
"...257","2003 Oct","22247169"
"...258","2003 Sep","20630297"
"...259","2003 Aug","19534347"
"...260","2003 Jul","19832506"
"...261","2003 Jun","19773576"
"...262","2003 May","18135977"
"...263","2003 Apr","19325007"
"...264","2003 Mar","20441818"
"...265","2003 Feb","17162800"
"...266","2003 Jan","18539098"
"...267","2002 Dec","17021067"
"...268","2002 Nov","17690794"
"...269","2002 Oct","18915666"
"...270","2002 Sep","17047877"
"...271","2002 Aug","18224600"
"...272","2002 Jul","18668721"
"...273","2002 Jun","18290300"
"...274","2002 May","17487220"
"...275","2002 Apr","18179783"
"...276","2002 Mar","17547760"
"...277","2002 Feb","14816724"
"...278","2002 Jan","15909729"
"...279","2001 Dec","15524076"
"...280","2001 Nov","16568462"
"...281","2001 Oct","18073404"
"...282","2001 Sep","16029478"
"...283","2001 Aug","17270265"
"...284","2001 Jul","17417877"
"...285","2001 Jun","17509415"
"...286","2001 May","17125687"
"...287","2001 Apr","17491623"
"...288","2001 Mar","19116724"
"...289","2001 Feb","17952511"
"...290","2001 Jan","17612616"
"...291","2000 Dec","20984719"
"...292","2000 Nov","21041672"
"...293","2000 Oct","21400038"
"...294","2000 Sep","21325111"
"...295","2000 Aug","20917474"
"...296","2000 Jul","19865437"
"...297","2000 Jun","20281078"
"...298","2000 May","18669571"
"...299","2000 Apr","17564650"
"...300","2000 Mar","18704237"
"...301","2000 Feb","15557241"
"...302","2000 Jan","15863851"
"...303","1999 Dec","17928291"
"...304","1999 Nov","17374626"
"...305","1999 Oct","16958676"
"...306","1999 Sep","16444304"
"...307","1999 Aug","16507617"
"...308","1999 Jul","16699646"
"...309","1999 Jun","15738641"
"...310","1999 May","15009917"
"...311","1999 Apr","15254783"
"...312","1999 Mar","15235020"
"...313","1999 Feb","11997660"
"...314","1999 Jan","12992380"
"...315","1998 Dec","14334730"
"...316","1998 Nov","13093541"
"...317","1998 Oct","13587125"
"...318","1998 Sep","14058809"
"...319","1998 Aug","14005064"
"...320","1998 Jul","14735024"
"...321","1998 Jun","14468063"
"...322","1998 May","12963883"
"...323","1998 Apr","13958753"
"...324","1998 Mar","16061183"
"...325","1998 Feb","14766759"
"...326","1998 Jan","13830548"
"...327","1997 Dec","17502726"
"...328","1997 Nov","16775834"
"...329","1997 Oct","17623903"
"...330","1997 Sep","17412112"
"...331","1997 Aug","16546053"
"...332","1997 Jul","17547537"
"...333","1997 Jun","15923211"
"...334","1997 May","16289060"
"...335","1997 Apr","15832563"
"...336","1997 Mar","16729284"
"...337","1997 Feb","12634879"
"...338","1997 Jan","15788033"
"...339","1996 Dec","15962353"
"...340","1996 Nov","15880423"
"...341","1996 Oct","16335831"
"...342","1996 Sep","14761789"
"...343","1996 Aug","14383157"
"...344","1996 Jul","15785983"
"...345","1996 Jun","15175694"
"...346","1996 May","15245465"
"...347","1996 Apr","15494903"
"...348","1996 Mar","16418429"
"...349","1996 Feb","14200033"
"...350","1996 Jan","15539334"
"...351","1995 Dec","15830769"
"...352","1995 Nov","15691830"
"...353","1995 Oct","16058779"
"...354","1995 Sep","14787061"
"...355","1995 Aug","15730943"
"...356","1995 Jul","15532592"
"...357","1995 Jun","14718979"
"...358","1995 May","14922431"
"...359","1995 Apr","13734522"
"...360","1995 Mar","14664247"
"...361","1995 Feb","12396938"
"...362","1995 Jan","12244388"
"...363","1994 Dec","14012963"
"...364","1994 Nov","13438283"
"...365","1994 Oct","13689237"
"...366","1994 Sep","13661781"
"...367","1994 Aug","13698273"
"...368","1994 Jul","13591796"
"...369","1994 Jun","13100849"
"...370","1994 May","13021034"
"...371","1994 Apr","13560716"
"...372","1994 Mar","12544779"
"...373","1994 Feb","10306500"
"...374","1994 Jan","11769573"
"...375","1993 Dec","12551076"
"...376","1993 Nov","11534142"
"...377","1993 Oct","11935375"
"...378","1993 Sep","12051974"
"...379","1993 Aug","11337446"
"...380","1993 Jul","11852931"
"...381","1993 Jun","11723084"
"...382","1993 May","11419872"
"...383","1993 Apr","11578362"
"...384","1993 Mar","11561629"
"...385","1993 Feb","10482915"
"...386","1993 Jan","9574146"
"...387","1992 Dec","11790640"
"...388","1992 Nov","10663096"
"...389","1992 Oct","10522212"
"...390","1992 Sep","9726574"
"...391","1992 Aug","9312418"
"...392","1992 Jul","10213734"
"...393","1992 Jun","10314947"
"...394","1992 May","8786921"
"...395","1992 Apr","9337443"
"...396","1992 Mar","9725652"
"...397","1992 Feb","8133216"
"...398","1992 Jan","9002814"
"...399","1991 Dec","9078154"
"...400","1991 Nov","9313806"
"...401","1991 Oct","9060661"
"...402","1991 Sep","8905211"
"...403","1991 Aug","9505211"
"...404","1991 Jul","10418245"
"...405","1991 Jun","9776339"
"...406","1991 May","9785944"
"...407","1991 Apr","9161131"
"...408","1991 Mar","9668039"
"...409","1991 Feb","9350929"
"...410","1991 Jan","10171241"
"...411","1990 Dec","9962846"
"...412","1990 Nov","10242614"
"...413","1990 Oct","10218288"
"...414","1990 Sep","8704397"
"...415","1990 Aug","9114427"
"...416","1990 Jul","8836001"
"...417","1990 Jun","8957917"
"...418","1990 May","8818823"
"...419","1990 Apr","8569262"
"...420","1990 Mar","9262216"
"...421","1990 Feb","8406030"
"...422","1990 Jan","8712990"
"...423","1989 Dec","8308040"
"...424","1989 Nov","8598656"
"...425","1989 Oct","8828501"
"...426","1989 Sep","8451166"
"...427","1989 Aug","8647696"
"...428","1989 Jul","7657119"
"...429","1989 Jun","8097022"
"...430","1989 May","8015335"
"...431","1989 Apr","8303030"
"...432","1989 Mar","8490926"
"...433","1989 Feb","6822114"
"...434","1989 Jan","6644115"
"...435","1988 Dec","8259540"
"...436","1988 Nov","7799081"
"...437","1988 Oct","8102209"
"...438","1988 Sep","7166715"
"...439","1988 Aug","8429892"
"...440","1988 Jul","7503028"
"...441","1988 Jun","8158578"
"...442","1988 May","6838831"
"...443","1988 Apr","6790756"
"...444","1988 Mar","6268633"
"...445","1988 Feb","6354236"
"...446","1988 Jan","6555218"
"...447","1987 Dec","6652230"
"...448","1987 Nov","6629128"
"...449","1987 Oct","6190999"
"...450","1987 Sep","6215154"
"...451","1987 Aug","5540683"
"...452","1987 Jul","6219723"
"...453","1987 Jun","5557727"
"...454","1987 May","5235972"
"...455","1987 Apr","5532124"
"...456","1987 Mar","4826590"
"...457","1987 Feb","4986178"
"...458","1987 Jan","4828720"
"...459","1986 Dec","4960162"
"...460","1986 Nov","4864192"
"...461","1986 Oct","4952515"
