"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...90","2017 Aug","11971100.3","8079770.2","683910.4","219475.2","886496.6","264642","251431","122933.9","931730.5","4385425.8","383837.7","408370.7"
"...91","2017 Jul","11928970","8258840.5","672442.2","208128.3","984485.9","251652.1","247220.2","130186.2","678512.9","3954082.3","355727.9","386385.2"
"...92","2017 Jun","10407049","6882198.6","599803.7","237738.6","953217.4","243734.2","274346","96730.8","649740.5","4011836.7","342995.8","397713.4"
"...93","2017 May","10153584.2","6683812.1","643567.8","167332.6","1030209.9","212268.3","222182.2","97474.7","640755.6","4562877.7","358055.6","438517.7"
"...94","2017 Apr","9905263.7","6683728.1","594911.1","189687.4","895396.5","210157","201916.2","99009.7","603499.5","3749760.5","324116.3","378601.8"
"...95","2017 Mar","10798234.1","7000923.1","708569.1","204810.8","1159144.9","234706.1","238896","107783.3","677721","4433103.7","357333.9","458934"
"...96","2017 Feb","8616105","5411165.7","596147.2","179478.5","855090.4","226620.2","195437.2","103679.2","654977.6","3794274.7","300197.1","413829"
"...97","2017 Jan","9866390.4","6265945.2","636901.8","190490.1","973654.2","201391.5","238964.8","133665.1","717769.2","3640584.6","291174.5","396771.1"
"...98","2016 Dec","10437189.3","6538106.6","678179.5","217568.2","1176437.3","220967.5","366435.2","136120.6","668256.4","4327084.7","346490.6","401885.3"
"...99","2016 Nov","9939507.9","6215589.9","671652.8","177902.8","1119381","246308.9","234560","125086.6","748415.9","3989792.9","334710.5","409896.7"
"...100","2016 Oct","10258478.4","6767201.9","614752.3","198313.3","1087759.7","217959.2","235233.5","110694.1","638817","3908455.2","312335.8","405300.7"
"...101","2016 Sep","9935807","6743860.5","590446.6","183729.6","766117.6","225172","245588.8","115283.2","712379.9","4276527","319740","413859.3"
"...102","2016 Aug","9879546.9","6524799.9","587610","175720.8","929528","208580.8","271746.8","125931","716114.6","4177555.4","314427.4","435267.7"
"...103","2016 Jul","9473957.4","6213192.4","502310.9","176210.4","885248","200652.8","258644.7","125909.6","759530.6","4062620.6","612340.2","414726.4"
"...104","2016 Jun","9511376.2","6146061.9","561147.4","202305.6","965069.7","207776.8","266900.3","120852.4","685329.3","4082318.8","314239.5","451797.4"
"...105","2016 May","8739853.6","5632441.4","522554.7","180179.3","809045.1","203406.4","228610","137838.2","699342.2","3648579.5","302424.6","417034.7"
"...106","2016 Apr","9588276.7","6141448.8","610542.3","186486.5","966896.8","226701.5","265867.1","130656.4","718306.2","3960179.3","305987.6","476663.8"
"...107","2016 Mar","9917504.2","6176914.4","641869.9","208627.8","1154703.4","234076.5","258866.7","114527.1","768439.6","4157277.9","312366.2","431086.4"
"...108","2016 Feb","8499320.3","5521958.9","509128.1","180196.1","853837.8","206569.3","232948.5","99659.1","614171.2","3441267.4","279633.1","410380.5"
"...109","2016 Jan","9633339","5999398.2","632619.1","191644","1072812.9","198683","301819.4","118073.6","808401.3","3650184.4","313655.2","404538"
"...110","2015 Dec","9911118.6","5822707.3","733878.2","307946.5","1200093.2","301767.3","297921.7","126548.6","774334","4348952.5","337141.7","431736.2"
"...111","2015 Nov","10060003.1","6488180.7","659611.3","191349.5","1021990.9","245224.1","285129.1","167705.3","703389.7","3834488.7","288945.2","414344"
"...112","2015 Oct","11814333.6","7730820.1","699634.5","224384.6","1295688","240170.7","288343.9","174964.7","821368.9","4091546.3","322647.6","500404.6"
"...113","2015 Sep","10546881.9","7013330.7","758608.4","240599.6","858587.5","220602","264333","141644","714795.2","3871272.1","332636.8","445731.8"
"...114","2015 Aug","9322466.6","5987993.4","668199.9","203981","910043.5","225983.3","227880.8","149794.4","621903.2","3794799","307087.1","406590.3"
