"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...27","2022 Nov","13924709.5","8845029","664989.6","167357.4","1611826.5","252942.9","417865.3","114786","1228196.1","6478874.9","566320.6","492505.9"
"...28","2022 Oct","16192013.6","10077280","1101022.5","159988.2","1905507.4","283858.1","525142.7","112983.4","1467503.8","6573451.1","567263.8","572875.7"
"...29","2022 Sep","18741104.5","13621598.9","623938.8","192561.1","1567797.5","238289.7","478066.9","120309.9","1230098.3","7314408.4","614394.2","598108.8"
"...30","2022 Aug","17620044.6","12691435.5","661899.2","138782.8","1369013.9","203428","417314.7","133165.6","1340944.1","7034639.9","628927.5","912427.3"
"...31","2022 Jul","16129461.4","11409096.7","553766.8","131179.4","1159546.2","242243.8","513308","157231.3","1302907.9","7253770.9","596159.1","579594.2"
"...32","2022 Jun","18391102.4","13120421.3","607381.9","159797.5","1433464","263571.4","454372.7","163811.6","1589366.1","7347643.7","572389.5","732537.8"
"...33","2022 May","15832851.6","11397499.2","543748.2","144791.1","1289836.5","205420.3","348136.2","152642.5","1208873.2","6500965.3","511998.1","696887.2"
"...34","2022 Apr","17133492.7","12553004.7","608546.4","138596.9","1297861.9","215043.4","381801.9","227152.5","1082934","6601145.9","565714.3","756883.1"
"...35","2022 Mar","18528987.4","13456492.3","650673.5","163994.8","1455882.4","264213.3","487803.5","154146.5","1257656.9","6793276.6","556070.2","685951.6"
"...36","2022 Feb","15212618.9","11285292.9","582557.6","149757.6","1030557.9","176559.7","432993.5","142122.6","954410.6","5210318.4","423926.7","484152.5"
"...37","2022 Jan","16371448.8","11874602.1","694071.1","210273.5","1221290.6","226716.7","433508.1","148387","1030225.4","5767565.3","470617.7","514506.6"
"...38","2021 Dec","17891315.4","12508040.3","853137.9","201538","1589063.1","289119.5","553592","165543.4","1176066.5","6296962.2","493928.5","606421.2"
"...39","2021 Nov","16899268.1","11787389.3","915556.1","146896.4","1569924.3","305527.4","422515.6","168310","1047233.3","5812322.7","496986.2","433361.7"
"...40","2021 Oct","16058255.7","11019198.2","935626","186649.2","1382862.3","277931.8","437332.3","168386.6","1119902.3","5538554.5","480045.5","456188.7"
"...41","2021 Sep","15948987.9","11330408.3","829162.1","155315.9","1182251.9","233779.5","435274.1","163013.9","1077485.9","5103091.6","458837.4","398178"
"...42","2021 Aug","16757975.8","12226651","939475.7","147065.1","1142691.6","217099.8","437591.8","169776.7","996625.8","5311964.8","475926.4","376736.8"
"...43","2021 Jul","14892724.3","10292247.5","991476.5","208593.2","1159651.9","224176.5","368993.3","147376.3","974622.5","4823167","495603.8","377737.1"
"...44","2021 Jun","13711931.7","9570559.2","835057","159182.9","1129545.5","218083.8","307363.4","140790.1","862634.1","5196095.2","494771.2","379394.1"
"...45","2021 May","14247258.6","9778330.1","965852.3","152557.6","1363925","200808.7","283969.8","133419.2","921639.3","4904846.3","440210.3","332605.3"
"...46","2021 Apr","14664952.8","9639949.5","969448.4","170175.2","1647961.3","277617.7","337105.3","156420","943888.7","5017886.6","484220.8","385730.8"
"...47","2021 Mar","15608052.4","10703868.3","873980.3","192920.6","1592638.2","234478.6","342419.2","117739.3","1012894.2","5451178.2","481250","411085.2"
"...48","2021 Feb","12459170.7","8323639.6","822236.9","131836.7","1318126.7","226823.8","259545.8","95638.4","836199.4","4235949.9","409538.7","295607.9"
"...49","2021 Jan","13485885","8706736.2","914011","167651.5","1587891.9","262206.5","322875.5","139752.9","963099.8","4467899.6","408081","347074"
"...50","2020 Dec","13795298.6","8971599.2","837025.5","198796.1","1615720","241206.4","291165.3","134576.5","1061673.9","4994953.4","433516","362561.4"
"...51","2020 Nov","13897424.5","9312559.5","940282.7","177984.3","1442650.7","250926.8","311226.2","123345.4","934237.7","4602679.4","383654.5","331359.2"
"...52","2020 Oct","13893209.2","9642484","847156.7","208051.3","1100869.8","238812.3","303138.3","113444","997118.6","4716080.1","428649.7","335207.7"
"...53","2020 Sep","13490819.8","8988919.8","831191.5","214841.3","1157611.1","216514.2","502110.6","125900.1","1037535.3","4844091.9","449274.8","329252.8"
"...54","2020 Aug","12955753.5","8562636.2","968978.3","193477.5","1298266.3","256931.5","264318.9","120298.1","873541.3","4541096.2","415948.4","304101.9"
"...55","2020 Jul","12420421","7854598.4","994324.3","161088.6","1410755.7","241510.1","311805.7","139511.4","884330.2","4771402.9","404843.1","327404.1"
"...56","2020 Jun","12050952.9","7900944.6","777639.8","172716","1323027.8","187563.2","305171.7","104734.8","876112.8","4668551.8","400228.3","318416.2"
"...57","2020 May","10529229.3","6889526.1","786229.5","187347.3","1082963.9","177321.3","234706.3","89733","748075.1","3831734.4","397842.7","250397.3"
"...58","2020 Apr","10717228","7338745.8","626674.2","166357.7","997166.4","197411.6","213891.8","56527.1","773577.2","4236909.9","376924.6","270057.1"
"...59","2020 Mar","11242128","7808122.2","539938.8","150829.4","1014382.3","232242.8","173546.9","91479.4","818501.5","5562307.1","445794.6","276392"
"...60","2020 Feb","10710964.7","7288470.3","627814","215473.6","897472.4","302633.1","185486.4","111065.3","679393.6","5396363.7","399370.6","287578"
"...61","2020 Jan","10518935.5","6987788.6","503585.2","183540.1","1162225.3","290572.1","245133.2","103928.7","668537.7","5265531.9","430265.1","270547.2"
"...62","2019 Dec","11089184.4","7111332","500542.1","194265.4","1571956.7","271633.9","242416.9","82264.3","697018.6","6224310.2","391998.4","304397.1"
"...63","2019 Nov","11502682.9","7244715","650011.6","186279.4","1709872.4","279513.1","278514.3","69521.2","670905.6","5852105.4","441858.1","300696.5"
"...64","2019 Oct","11561667.1","7543944.1","644425.5","208171.1","1555333.6","238283.4","285719","64280.6","625899","6116713.2","459781.8","299326"
"...65","2019 Sep","10874554","7335269.5","604612.5","179538","1124805.3","227339","257635.8","69438.5","656066.2","5951637.4","417620.5","328543.4"
"...66","2019 Aug","11528855.4","7947622.8","694023.4","155557.5","1097802.2","221465","256338","66868.3","655512.9","5697637.5","468400.7","322040.4"
"...67","2019 Jul","11123494.6","7241142.6","708709.8","251188.3","1181304.5","217958.5","295668","82190.1","708969.9","5555015.2","450158.5","332299.9"
"...68","2019 Jun","9948231","6471362.2","608970.1","249653.3","1107766.7","198244.2","240144.9","44598.3","626531.2","5159324.2","494251.1","298143.1"
"...69","2019 May","10982867.7","7250980","739777.3","160268.4","1268778.1","221881","254026.7","63778.8","629110.7","5241875.7","462398.1","336959.8"
"...70","2019 Apr","10129049.8","6627301.8","726437.3","159719.1","1042154.9","216099.9","293892.4","64225.5","601153","5401532.6","518840.8","310997"
"...71","2019 Mar","10362286.2","6691462.8","819636.7","192111.5","1028480.6","218044.8","247783.7","83625.3","648870.6","5965851.3","571220.6","326490.7"
"...72","2019 Feb","9199483.7","6227596.8","688813.5","141183.7","789132.5","170499.5","257981.7","66155.9","505324.5","4383325.8","443122.9","268652.6"
"...73","2019 Jan","10870829.5","7118504.7","748597.4","195568.9","1128899.6","200277.9","296279.6","113174.1","619112.9","5290424.6","483935.8","348965.5"
"...74","2018 Dec","10293108.1","6608073.6","659980.5","206475.3","1197462.2","188945.3","290935.6","93039.4","621149.3","5677092.6","418916.1","307255.4"
"...75","2018 Nov","11544212.1","7498127.5","812719.1","176424.7","1309872","200098.4","281284.5","97680.2","619254.9","5458787.8","448016.7","331116.8"
"...76","2018 Oct","12164164.5","8098944.7","698885.7","173949.1","1447317.7","236914.8","286140","101459.8","645534.5","5797281.9","451221.4","372422.8"
"...77","2018 Sep","10528177.4","7193616.4","565722.4","168736.1","951543.9","197665.9","256859.3","93504.6","655116.5","5467986.3","467923.9","406774.7"
"...78","2018 Aug","12197839.4","8391764.1","724528.9","173205.9","1169142","223209.9","261498.7","101839.7","660754.7","5763212.1","716382.4","391219"
"...79","2018 Jul","11405298.2","7727361.7","660530.3","155974.2","1153432.3","200269.3","291805.2","104566.5","625702.4","5532574.6","588373.3","428580.9"
"...80","2018 Jun","10151826.6","6761825.3","599406.4","173773.2","928715.9","202132","243748","143562.4","657935.8","4914806.9","509404","343896.7"
"...81","2018 May","10329416.8","6730479.5","658044","161892.9","1046062.9","228233.3","259240.1","172367.8","614335.7","4566937.4","440702.2","375941.2"
"...82","2018 Apr","9818654.6","6410989.8","635203.5","154663.6","954263.2","206940.6","290535.5","123437.3","580458.5","4457682.6","454880.9","362984.3"
"...83","2018 Mar","10451254.9","6880849.2","679443.6","187928","946960.7","219639.7","254200.5","125494.4","643159.3","4682483.4","468275.9","383240.9"
"...84","2018 Feb","8550841.1","5601534.5","550845.5","143653.3","902492.6","185950.3","188067.6","96677.8","519850.5","3717406.6","376343.4","308512.6"
"...85","2018 Jan","10076997.5","6625829.7","634864.7","146432.7","1172585.9","206914.8","225857.5","100714.6","564769","4220831.4","401773.8","469218.8"
"...86","2017 Dec","9580179.7","5982787","648493.2","209415.4","1243220.1","203426.4","244564.9","87071.1","562186.3","4206043.3","366780.3","414122.5"
"...87","2017 Nov","10327622.6","6632009.7","703133.2","175804.1","1161095.7","234322.7","334223.1","107186.1","560686.3","4403455.6","362787.8","425223.6"
"...88","2017 Oct","10310030.4","6855040","715782.6","202036.2","995401.4","221246.1","251372.1","141237.3","540407.7","4179099.9","385454.5","398868.3"
"...89","2017 Sep","10461661.9","7151755.5","622694.4","223802.1","817450.4","213141.1","222149.1","113439.9","635811.4","3907306","337194.1","406558.6"
